type	number	min	add	remove	time
ArrayDeque	1000	0.53	1.07	0.07	1.67
ArrayDeque	2000	0.67	1.10	0.10	1.87
ArrayDeque	3000	0.57	1.17	0.53	2.27
ArrayDeque	4000	0.17	3.47	0.13	3.77
ArrayDeque	5000	0.27	1.23	0.13	1.63
ArrayDeque	6000	1.00	1.03	0.17	2.20
ArrayDeque	7000	0.27	1.90	0.67	2.83
ArrayDeque	8000	1.13	1.77	0.33	3.23
ArrayDeque	9000	1.03	2.03	0.27	3.33
ArrayDeque	10000	0.60	2.23	0.30	3.13
ArrayDeque	11000	0.07	1.20	0.20	1.47
ArrayDeque	12000	0.07	0.93	0.50	1.50
ArrayDeque	13000	0.43	2.63	0.23	3.30
ArrayDeque	14000	0.43	1.33	0.03	1.80
ArrayDeque	15000	0.17	1.07	0.03	1.27
ArrayDeque	16000	0.17	1.87	0.07	2.10
ArrayDeque	17000	0.10	0.97	0.00	1.07
ArrayDeque	18000	0.10	1.93	0.00	2.03
ArrayDeque	19000	0.30	1.77	0.17	2.23
ArrayDeque	20000	0.07	1.90	0.07	2.03
BinTreeSrch	1000	0.00	1.17	0.00	1.17
BinTreeSrch	2000	0.00	1.70	0.07	1.77
BinTreeSrch	3000	0.00	3.33	0.00	3.33
BinTreeSrch	4000	0.00	2.43	0.00	2.43
BinTreeSrch	5000	0.00	4.50	0.00	4.50
BinTreeSrch	6000	0.00	2.97	0.00	2.97
BinTreeSrch	7000	0.00	2.40	0.00	2.40
BinTreeSrch	8000	0.03	2.73	0.00	2.77
BinTreeSrch	9000	0.00	2.90	0.03	2.93
BinTreeSrch	10000	0.00	3.37	0.00	3.37
BinTreeSrch	11000	0.00	3.97	0.00	3.97
BinTreeSrch	12000	0.00	5.47	0.00	5.47
BinTreeSrch	13000	0.00	4.90	0.00	4.90
BinTreeSrch	14000	0.00	5.23	0.00	5.23
BinTreeSrch	15000	0.00	5.63	0.00	5.63
BinTreeSrch	16000	0.00	7.10	0.00	7.10
BinTreeSrch	17000	0.00	6.40	0.00	6.40
BinTreeSrch	18000	0.00	6.80	0.00	6.80
BinTreeSrch	19000	0.00	9.83	0.00	9.83
BinTreeSrch	20000	0.03	10.63	0.00	10.67
LinkedList	1000	0.27	0.40	0.07	0.73
LinkedList	2000	0.70	0.27	0.03	1.00
LinkedList	3000	0.23	0.53	0.33	1.10
LinkedList	4000	0.13	0.77	0.13	1.03
LinkedList	5000	0.70	1.73	0.07	2.50
LinkedList	6000	0.40	2.70	0.10	3.20
LinkedList	7000	0.93	2.17	0.00	3.10
LinkedList	8000	0.03	1.30	0.00	1.33
LinkedList	9000	0.07	0.60	0.03	0.70
LinkedList	10000	0.03	1.63	0.10	1.77
LinkedList	11000	0.13	0.47	0.10	0.70
LinkedList	12000	0.07	0.53	0.10	0.70
LinkedList	13000	0.10	0.90	0.13	1.13
LinkedList	14000	0.03	0.77	0.10	0.90
LinkedList	15000	0.10	0.77	0.03	0.90
LinkedList	16000	0.30	0.60	0.13	1.03
LinkedList	17000	0.10	1.00	0.03	1.13
LinkedList	18000	0.10	1.77	0.10	1.97
LinkedList	19000	0.17	1.00	0.03	1.20
LinkedList	20000	0.20	1.13	0.07	1.40
OwnLinkedList	1000	0.10	8.27	0.07	8.43
OwnLinkedList	2000	0.03	28.97	0.00	29.00
OwnLinkedList	3000	0.10	61.60	0.03	61.73
OwnLinkedList	4000	0.07	106.30	0.07	106.43
OwnLinkedList	5000	0.07	172.37	0.07	172.50
OwnLinkedList	6000	0.03	258.33	0.03	258.40
OwnLinkedList	7000	0.17	342.93	0.00	343.10
OwnLinkedList	8000	0.10	441.23	0.00	441.33
OwnLinkedList	9000	0.13	563.57	0.07	563.77
OwnLinkedList	10000	0.33	693.90	0.00	694.23
OwnLinkedList	11000	0.23	858.90	0.03	859.17
OwnLinkedList	12000	0.40	1087.00	0.10	1087.50
OwnLinkedList	13000	0.43	1344.60	0.23	1345.27
OwnLinkedList	14000	0.17	1570.60	0.10	1570.87
OwnLinkedList	15000	0.47	2011.53	0.17	2012.17
OwnLinkedList	16000	0.47	2203.23	0.17	2203.87
OwnLinkedList	17000	0.47	2601.23	0.27	2601.97
OwnLinkedList	18000	0.60	2952.87	0.13	2953.60
OwnLinkedList	19000	0.47	3424.40	0.17	3425.03
OwnLinkedList	20000	0.77	4077.13	0.17	4078.07
Stack	1000	0.70	0.30	0.07	1.07
Stack	2000	0.33	0.23	0.10	0.67
Stack	3000	0.13	0.20	0.30	0.63
Stack	4000	0.17	0.37	0.13	0.67
Stack	5000	0.10	0.43	0.07	0.60
Stack	6000	0.03	0.57	0.17	0.77
Stack	7000	0.07	0.53	0.10	0.70
Stack	8000	0.07	0.77	0.07	0.90
Stack	9000	0.10	0.67	0.03	0.80
Stack	10000	0.10	0.77	0.00	0.87
Stack	11000	0.07	0.93	0.00	1.00
Stack	12000	0.00	1.13	0.00	1.13
Stack	13000	0.10	1.00	0.00	1.10
Stack	14000	0.10	1.63	0.00	1.73
Stack	15000	0.20	0.97	0.07	1.23
Stack	16000	0.13	1.13	0.07	1.33
Stack	17000	0.27	1.07	0.03	1.37
Stack	18000	0.37	1.10	0.03	1.50
Stack	19000	0.20	1.23	0.03	1.47
Stack	20000	0.23	1.27	0.10	1.60
