type	number	min	add	remove	time
ArrayDeque	100000	0.37	2.27	0.07	2.70
ArrayDeque	200000	0.17	3.70	0.13	4.00
ArrayDeque	300000	0.37	4.93	0.20	5.50
ArrayDeque	400000	0.57	6.73	0.23	7.53
ArrayDeque	500000	0.70	7.97	0.30	8.97
ArrayDeque	600000	0.83	10.30	0.57	11.70
ArrayDeque	700000	0.93	10.43	0.47	11.83
ArrayDeque	800000	1.10	8.73	0.67	10.50
ArrayDeque	900000	1.13	10.03	0.63	11.80
ArrayDeque	1000000	1.37	11.07	0.60	13.03
ArrayDeque	1100000	1.30	11.70	0.87	13.87
ArrayDeque	1200000	1.57	13.67	0.93	16.17
ArrayDeque	1300000	1.77	14.57	0.87	17.20
ArrayDeque	1400000	1.93	15.57	0.80	18.30
ArrayDeque	1500000	2.07	16.00	1.07	19.13
ArrayDeque	1600000	2.20	17.30	1.10	20.60
ArrayDeque	1700000	2.27	18.10	0.97	21.33
ArrayDeque	1800000	2.43	20.10	1.23	23.77
ArrayDeque	1900000	2.63	25.67	1.20	29.50
ArrayDeque	2000000	2.80	22.10	1.23	26.13
ArrayDeque	2100000	2.80	22.97	1.43	27.20
ArrayDeque	2200000	2.90	23.83	1.87	28.60
ArrayDeque	2300000	3.13	24.80	1.57	29.50
ArrayDeque	2400000	3.17	25.83	1.73	30.73
ArrayDeque	2500000	3.30	26.60	1.77	31.67
ArrayDeque	2600000	3.67	27.90	2.10	33.67
ArrayDeque	2700000	3.83	30.80	1.93	36.57
ArrayDeque	2800000	3.77	32.90	2.10	38.77
ArrayDeque	2900000	3.90	33.17	1.93	39.00
ArrayDeque	3000000	4.17	33.40	2.00	39.57
ArrayDeque	3100000	4.30	34.80	1.80	40.90
ArrayDeque	3200000	4.47	36.37	2.00	42.83
ArrayDeque	3300000	4.30	36.40	2.90	43.60
ArrayDeque	3400000	4.57	37.87	2.10	44.53
ArrayDeque	3500000	4.73	38.90	2.40	46.03
ArrayDeque	3600000	4.73	39.27	2.70	46.70
ArrayDeque	3700000	4.83	39.93	2.40	47.17
ArrayDeque	3800000	5.33	43.17	2.87	51.37
ArrayDeque	3900000	5.13	42.83	3.00	50.97
ArrayDeque	4000000	5.30	47.47	2.90	55.67
ArrayDeque	4100000	5.57	47.23	2.93	55.73
ArrayDeque	4200000	5.80	49.37	2.77	57.93
ArrayDeque	4300000	5.77	49.40	3.70	58.87
ArrayDeque	4400000	6.10	52.20	3.10	61.40
ArrayDeque	4500000	6.00	52.40	3.13	61.53
ArrayDeque	4600000	6.20	54.43	3.63	64.27
ArrayDeque	4700000	6.43	52.87	2.70	62.00
ArrayDeque	4800000	6.50	55.13	3.40	65.03
ArrayDeque	4900000	6.43	54.87	2.97	64.27
ArrayDeque	5000000	6.73	56.93	3.60	67.27
BinTreeSrch	100000	0.03	20.30	0.00	20.33
BinTreeSrch	200000	0.00	55.23	0.00	55.23
BinTreeSrch	300000	0.03	97.27	0.00	97.30
BinTreeSrch	400000	0.00	140.07	0.00	140.07
BinTreeSrch	500000	0.00	191.57	0.00	191.57
BinTreeSrch	600000	0.00	248.93	0.00	248.93
BinTreeSrch	700000	0.00	305.17	0.00	305.17
BinTreeSrch	800000	0.00	375.73	0.00	375.73
BinTreeSrch	900000	0.00	446.90	0.00	446.90
BinTreeSrch	1000000	0.00	500.70	0.00	500.70
BinTreeSrch	1100000	0.00	561.93	0.00	561.93
BinTreeSrch	1200000	0.00	647.47	0.00	647.47
BinTreeSrch	1300000	0.00	716.07	0.00	716.07
BinTreeSrch	1400000	0.00	792.63	0.00	792.63
BinTreeSrch	1500000	0.00	864.80	0.00	864.80
BinTreeSrch	1600000	0.00	947.33	0.00	947.33
BinTreeSrch	1700000	0.00	1023.10	0.00	1023.10
BinTreeSrch	1800000	0.00	1112.83	0.00	1112.83
BinTreeSrch	1900000	0.00	1188.00	0.00	1188.00
BinTreeSrch	2000000	0.00	1343.53	0.00	1343.53
BinTreeSrch	2100000	0.00	1419.90	0.00	1419.90
BinTreeSrch	2200000	0.00	1494.80	0.00	1494.80
BinTreeSrch	2300000	0.00	1576.87	0.00	1576.87
BinTreeSrch	2400000	0.00	1670.50	0.00	1670.50
BinTreeSrch	2500000	0.00	1726.83	0.00	1726.83
BinTreeSrch	2600000	0.00	1797.77	0.00	1797.77
BinTreeSrch	2700000	0.00	1916.37	0.00	1916.37
BinTreeSrch	2800000	0.00	1992.03	0.00	1992.03
BinTreeSrch	2900000	0.00	2072.80	0.00	2072.80
BinTreeSrch	3000000	0.00	2204.63	0.00	2204.63
BinTreeSrch	3100000	0.00	2425.60	0.00	2425.60
BinTreeSrch	3200000	0.00	2568.77	0.00	2568.77
BinTreeSrch	3300000	0.00	2550.93	0.00	2550.93
BinTreeSrch	3400000	0.00	2616.60	0.00	2616.60
BinTreeSrch	3500000	0.00	2904.47	0.00	2904.47
BinTreeSrch	3600000	0.00	2875.93	0.00	2875.93
BinTreeSrch	3700000	0.00	2959.70	0.00	2959.70
BinTreeSrch	3800000	0.00	2949.27	0.00	2949.27
BinTreeSrch	3900000	0.00	3071.00	0.00	3071.00
BinTreeSrch	4000000	0.00	3153.50	0.00	3153.50
BinTreeSrch	4100000	0.00	3231.37	0.00	3231.37
BinTreeSrch	4200000	0.00	3362.43	0.00	3362.43
BinTreeSrch	4300000	0.00	3437.00	0.00	3437.00
BinTreeSrch	4400000	0.00	3228.37	0.00	3228.37
BinTreeSrch	4500000	0.00	3567.47	0.00	3567.47
BinTreeSrch	4600000	0.00	3798.50	0.00	3798.50
BinTreeSrch	4700000	0.00	3915.00	0.00	3915.00
BinTreeSrch	4800000	0.00	4003.70	0.00	4003.70
BinTreeSrch	4900000	0.00	4122.97	0.00	4122.97
BinTreeSrch	5000000	0.00	4335.40	0.00	4335.40
LinkedList	100000	0.57	1.77	0.30	2.63
LinkedList	200000	0.63	2.07	0.40	3.10
LinkedList	300000	1.03	3.00	0.53	4.57
LinkedList	400000	1.53	4.03	0.47	6.03
LinkedList	500000	1.67	5.03	0.90	7.60
LinkedList	600000	2.07	6.63	1.00	9.70
LinkedList	700000	2.30	7.00	1.27	10.57
LinkedList	800000	2.60	8.13	1.20	11.93
LinkedList	900000	2.97	10.40	1.27	14.63
LinkedList	1000000	3.33	10.07	1.70	15.10
LinkedList	1100000	3.77	15.07	1.97	20.80
LinkedList	1200000	3.93	12.17	2.03	18.13
LinkedList	1300000	4.50	16.53	2.20	23.23
LinkedList	1400000	4.73	14.80	1.90	21.43
LinkedList	1500000	5.20	15.53	2.67	23.40
LinkedList	1600000	5.43	17.13	3.00	25.57
LinkedList	1700000	5.97	22.87	3.23	32.07
LinkedList	1800000	6.17	21.10	3.57	30.83
LinkedList	1900000	6.57	24.40	3.23	34.20
LinkedList	2000000	6.90	20.57	3.17	30.63
LinkedList	2100000	7.43	25.47	3.10	36.00
LinkedList	2200000	7.87	28.13	4.40	40.40
LinkedList	2300000	8.10	32.60	3.93	44.63
LinkedList	2400000	8.20	34.37	3.47	46.03
LinkedList	2500000	8.43	26.60	4.27	39.30
LinkedList	2600000	8.70	28.17	4.27	41.13
LinkedList	2700000	9.03	32.73	4.87	46.63
LinkedList	2800000	9.20	31.83	5.10	46.13
LinkedList	2900000	9.87	34.53	3.63	48.03
LinkedList	3000000	10.10	37.90	4.90	52.90
LinkedList	3100000	10.47	32.93	5.40	48.80
LinkedList	3200000	10.83	37.40	6.03	54.27
LinkedList	3300000	11.07	47.00	5.93	64.00
LinkedList	3400000	11.63	43.10	5.07	59.80
LinkedList	3500000	11.77	41.97	4.47	58.20
LinkedList	3600000	12.20	50.90	5.97	69.07
LinkedList	3700000	12.50	66.80	7.20	86.50
LinkedList	3800000	12.70	56.60	5.07	74.37
LinkedList	3900000	13.20	52.70	7.73	73.63
LinkedList	4000000	13.67	53.87	6.20	73.73
LinkedList	4100000	14.07	48.23	6.77	69.07
LinkedList	4200000	14.37	55.13	7.43	76.93
LinkedList	4300000	14.70	45.60	8.43	68.73
LinkedList	4400000	14.93	56.70	7.17	78.80
LinkedList	4500000	14.87	52.90	6.53	74.30
LinkedList	4600000	16.03	66.37	7.87	90.27
LinkedList	4700000	16.33	90.47	8.47	115.27
LinkedList	4800000	16.10	64.90	9.20	90.20
LinkedList	4900000	16.47	65.93	9.37	91.77
LinkedList	5000000	16.90	72.77	6.57	96.23
Stack	100000	1.83	2.20	0.13	4.17
Stack	200000	3.03	4.40	0.33	7.77
Stack	300000	4.73	6.50	0.27	11.50
Stack	400000	6.30	8.73	0.33	15.37
Stack	500000	7.83	11.07	0.33	19.23
Stack	600000	9.53	29.47	0.47	39.47
Stack	700000	11.03	15.53	0.37	26.93
Stack	800000	12.80	17.43	0.50	30.73
Stack	900000	14.07	19.50	0.70	34.27
Stack	1000000	15.87	22.67	0.77	39.30
Stack	1100000	17.53	23.73	0.83	42.10
Stack	1200000	18.97	26.43	0.83	46.23
Stack	1300000	20.53	28.27	1.03	49.83
Stack	1400000	22.07	30.87	1.27	54.20
Stack	1500000	23.97	33.77	0.80	58.53
Stack	1600000	25.67	36.10	1.10	62.87
Stack	1700000	27.20	38.00	1.30	66.50
Stack	1800000	28.73	40.03	1.40	70.17
Stack	1900000	30.33	42.47	1.63	74.43
Stack	2000000	31.97	44.23	1.53	77.73
Stack	2100000	33.83	46.93	1.60	82.37
Stack	2200000	35.03	48.63	1.77	85.43
Stack	2300000	36.77	50.17	1.80	88.73
Stack	2400000	38.40	53.70	1.83	93.93
Stack	2500000	40.13	55.07	1.97	97.17
Stack	2600000	41.50	57.43	2.03	100.97
Stack	2700000	43.07	63.67	2.10	108.83
Stack	2800000	44.60	64.17	2.23	111.00
Stack	2900000	46.13	66.33	2.27	114.73
Stack	3000000	47.80	68.87	2.33	119.00
Stack	3100000	49.27	70.57	2.43	122.27
Stack	3200000	51.23	72.87	2.43	126.53
Stack	3300000	53.60	76.23	2.40	132.23
Stack	3400000	54.33	77.30	2.43	134.07
Stack	3500000	55.27	77.37	2.67	135.30
Stack	3600000	56.77	79.87	2.73	139.37
Stack	3700000	58.50	83.13	2.73	144.37
Stack	3800000	60.00	84.53	3.23	147.77
Stack	3900000	61.47	86.80	2.87	151.13
Stack	4000000	63.27	89.00	2.73	155.00
Stack	4100000	64.73	91.93	3.20	159.87
Stack	4200000	66.57	94.30	3.33	164.20
Stack	4300000	67.83	96.17	3.10	167.10
Stack	4400000	69.63	96.17	3.70	169.50
Stack	4500000	71.03	99.17	3.63	173.83
Stack	4600000	72.50	101.10	3.83	177.43
Stack	4700000	74.43	104.73	3.83	183.00
Stack	4800000	76.10	105.90	3.23	185.23
Stack	4900000	77.30	108.13	3.07	188.50
Stack	5000000	79.17	110.60	3.73	193.50
BinTreeSrch	3000000	1742.00	0.00	9.00	1751.00
