type	number	min	add	remove	time
ArrayDeque	50000	0.37	2.47	0.23	3.07
ArrayDeque	100000	0.13	4.43	0.03	4.60
ArrayDeque	150000	0.33	3.70	0.13	4.17
ArrayDeque	200000	0.33	5.83	0.20	6.37
ArrayDeque	250000	0.53	8.83	0.20	9.57
ArrayDeque	300000	0.50	8.70	0.33	9.53
ArrayDeque	350000	0.67	10.80	0.20	11.67
ArrayDeque	400000	0.87	10.50	0.23	11.60
ArrayDeque	450000	0.90	10.30	0.30	11.50
ArrayDeque	500000	1.00	11.20	0.40	12.60
ArrayDeque	550000	1.10	23.20	0.37	24.67
ArrayDeque	600000	1.23	19.77	0.43	21.43
ArrayDeque	650000	1.40	24.57	0.43	26.40
ArrayDeque	700000	1.33	21.07	0.50	22.90
ArrayDeque	750000	1.50	27.50	0.60	29.60
ArrayDeque	800000	1.83	35.43	0.83	38.10
ArrayDeque	850000	1.83	25.90	0.77	28.50
ArrayDeque	900000	1.97	33.83	0.70	36.50
ArrayDeque	950000	2.13	37.10	0.97	40.20
ArrayDeque	1000000	2.07	43.10	1.00	46.17
BinTreeSrch	50000	0.00	16.23	0.00	16.23
BinTreeSrch	100000	0.00	35.07	0.00	35.07
BinTreeSrch	150000	0.00	64.70	0.00	64.70
BinTreeSrch	200000	0.00	77.43	0.00	77.43
BinTreeSrch	250000	0.00	100.70	0.00	100.70
BinTreeSrch	300000	0.00	128.10	0.00	128.10
BinTreeSrch	350000	0.00	148.87	0.00	148.87
BinTreeSrch	400000	0.00	177.23	0.00	177.23
BinTreeSrch	450000	0.00	200.40	0.00	200.40
BinTreeSrch	500000	0.00	231.00	0.00	231.00
BinTreeSrch	550000	0.00	259.37	0.00	259.37
BinTreeSrch	600000	0.00	285.10	0.00	285.10
BinTreeSrch	650000	0.00	316.87	0.00	316.87
BinTreeSrch	700000	0.00	348.27	0.03	348.30
BinTreeSrch	750000	0.00	384.47	0.00	384.47
BinTreeSrch	800000	0.00	418.23	0.00	418.23
BinTreeSrch	850000	0.00	452.23	0.00	452.23
BinTreeSrch	900000	0.00	500.13	0.00	500.13
BinTreeSrch	950000	0.00	538.00	0.00	538.00
BinTreeSrch	1000000	0.00	574.97	0.00	574.97
LinkedList	50000	0.90	3.30	0.27	4.47
LinkedList	100000	0.30	4.40	0.23	4.93
LinkedList	150000	0.47	5.30	0.30	6.07
LinkedList	200000	0.90	6.97	0.23	8.10
LinkedList	250000	1.00	8.77	0.40	10.17
LinkedList	300000	1.30	10.17	0.40	11.87
LinkedList	350000	1.63	8.93	0.33	10.90
LinkedList	400000	1.63	11.57	0.87	14.07
LinkedList	450000	1.83	15.67	0.87	18.37
LinkedList	500000	2.47	17.27	1.17	20.90
LinkedList	550000	2.50	19.23	1.13	22.87
LinkedList	600000	3.03	20.77	1.40	25.20
LinkedList	650000	3.57	22.57	1.60	27.73
LinkedList	700000	3.77	24.33	1.60	29.70
LinkedList	750000	4.17	34.87	1.83	40.87
LinkedList	800000	4.63	25.40	1.77	31.80
LinkedList	850000	4.90	24.37	2.30	31.57
LinkedList	900000	5.03	26.37	2.40	33.80
LinkedList	950000	5.67	35.80	2.10	43.57
LinkedList	1000000	5.63	31.03	1.87	38.53
Stack	50000	0.93	1.33	0.43	2.70
Stack	100000	0.50	2.83	0.10	3.43
Stack	150000	0.63	4.03	0.23	4.90
Stack	200000	1.00	5.53	0.17	6.70
Stack	250000	1.27	7.23	0.20	8.70
Stack	300000	1.40	8.17	0.27	9.83
Stack	350000	1.83	11.03	0.10	12.97
Stack	400000	1.93	12.57	0.50	15.00
Stack	450000	2.10	27.90	0.47	30.47
Stack	500000	2.27	16.33	0.40	19.00
Stack	550000	2.37	17.93	0.73	21.03
Stack	600000	2.87	28.47	0.70	32.03
Stack	650000	3.20	21.73	0.43	25.37
Stack	700000	3.43	25.93	0.73	30.10
Stack	750000	3.77	40.73	0.63	45.13
Stack	800000	3.87	28.00	0.67	32.53
Stack	850000	4.20	42.47	0.93	47.60
Stack	900000	4.40	30.60	0.80	35.80
Stack	950000	4.67	45.07	0.83	50.57
Stack	1000000	4.90	48.50	0.93	54.33
